burst,correction_type,target,random_seed,model,roc_auc,accuracy,balanced_acc,f1_score,precision,recall,time
Burst_1,rotbasal,Behaviour,42,RF,0.8942203972823479,0.6806083650190115,0.3908425285517757,0.6521194300955842,0.6654441957812095,0.6806083650190115,0.27190589904785156
Burst_1,rotbasal,Behaviour,42,XGB,0.891298170985027,0.6730038022813688,0.3960247948123413,0.6570474363563962,0.6583798267800485,0.6730038022813688,0.46855616569519043
Burst_1,rotbasal,Behaviour,42,SVC,0.6512793613497879,0.3688212927756654,0.12372448979591837,0.20080270384452895,0.13795605607639394,0.3688212927756654,0.18034076690673828
Burst_1,rotbasal,Behaviour,100,RF,0.9018718758540786,0.6920152091254753,0.41775085034013604,0.6733016013982627,0.681847714100658,0.6920152091254753,0.28734755516052246
Burst_1,rotbasal,Behaviour,100,XGB,0.9152967808640396,0.6768060836501901,0.4181193310657596,0.6660415658504165,0.670094553014404,0.6768060836501901,0.46471166610717773
Burst_1,rotbasal,Behaviour,100,SVC,0.7073537264769608,0.3688212927756654,0.12372448979591837,0.20136204285245238,0.13848462334105446,0.3688212927756654,0.18402647972106934
Burst_1,rotbasal,Behaviour,123,RF,0.8896120318064545,0.6806083650190115,0.4046311287502435,0.6622040650405742,0.6928342454170147,0.6806083650190115,0.2834329605102539
Burst_1,rotbasal,Behaviour,123,XGB,0.8860782879025426,0.7034220532319392,0.43756080939954684,0.6902847819369043,0.6960507938433478,0.7034220532319392,0.512138843536377
Burst_1,rotbasal,Behaviour,123,SVC,0.6437312897114205,0.3726235741444867,0.1277567478604345,0.2085057229999348,0.19741998455778448,0.3726235741444867,0.18730688095092773
Burst_1,rotbasal,Behaviour,1234,RF,0.8962802448464271,0.7110266159695817,0.47553987345035176,0.6959598251504167,0.7099337593452625,0.7110266159695817,0.2804436683654785
Burst_1,rotbasal,Behaviour,1234,XGB,0.9033791912910597,0.7224334600760456,0.5041819957028024,0.7158302050493719,0.7248775667569802,0.7224334600760456,0.46546387672424316
Burst_1,rotbasal,Behaviour,1234,SVC,0.6611261879299053,0.3726235741444867,0.125,0.20231086020033073,0.13884832800821179,0.3726235741444867,0.18493390083312988
Burst_1,rotbasal,Behaviour,123456,RF,0.9092157892136844,0.7110266159695817,0.5801524123705708,0.6956232494646625,0.7017189599833304,0.7110266159695817,0.2741832733154297
Burst_1,rotbasal,Behaviour,123456,XGB,0.9158729429289912,0.7186311787072244,0.6022541697401852,0.7124272429630826,0.7169969812096264,0.7186311787072244,0.47312068939208984
Burst_1,rotbasal,Behaviour,123456,SVC,0.7067485223339056,0.3726235741444867,0.125,0.20231086020033073,0.13884832800821179,0.3726235741444867,0.18236446380615234
Burst_1,rotdaily,Behaviour,42,RF,0.8891816754686457,0.6768060836501901,0.3930400943250729,0.6436340047789676,0.6616177270740395,0.6768060836501901,0.272477388381958
Burst_1,rotdaily,Behaviour,42,XGB,0.8910808382995073,0.6692015209125475,0.5200045849405963,0.6444581697772296,0.6489984653819505,0.6692015209125475,0.4637324810028076
Burst_1,rotdaily,Behaviour,42,SVC,0.6770099842778798,0.3688212927756654,0.12648123765635286,0.20903449347774167,0.17902408111533585,0.3688212927756654,0.19393324851989746
Burst_1,rotdaily,Behaviour,100,RF,0.892733497863925,0.6844106463878327,0.420656179138322,0.6585479171756792,0.6727828262908531,0.6844106463878327,0.2882254123687744
Burst_1,rotdaily,Behaviour,100,XGB,0.9005600333795845,0.6806083650190115,0.427749433106576,0.6658901353299843,0.6674527496016941,0.6806083650190115,0.46335816383361816
Burst_1,rotdaily,Behaviour,100,SVC,0.5312212917800619,0.376425855513308,0.12648809523809523,0.21095303749511707,0.45930393485133225,0.376425855513308,0.19732999801635742
Burst_1,rotdaily,Behaviour,123,RF,0.8966371266571868,0.7110266159695817,0.5363155496685006,0.6867966926155874,0.7120002772856775,0.7110266159695817,0.2673168182373047
Burst_1,rotdaily,Behaviour,123,XGB,0.8894549754779134,0.7034220532319392,0.5400165782727134,0.6879409496649866,0.6968892172484553,0.7034220532319392,0.4828634262084961
Burst_1,rotdaily,Behaviour,123,SVC,0.7075911656857313,0.38022813688212925,0.1280120481927711,0.21885746630364022,0.45603977771278154,0.38022813688212925,0.1945202350616455
Burst_1,rotdaily,Behaviour,1234,RF,0.8995523245093199,0.6768060836501901,0.44063657251344635,0.6593090530647195,0.6681875792141951,0.6768060836501901,0.26184511184692383
Burst_1,rotdaily,Behaviour,1234,XGB,0.8876546640148377,0.7110266159695817,0.4684639231712895,0.6996335856468303,0.7069160607143288,0.7110266159695817,0.4868428707122803
Burst_1,rotdaily,Behaviour,1234,SVC,0.6152258528131072,0.3840304182509506,0.13204430625728722,0.22734234517705287,0.391773066433894,0.3840304182509506,0.19515562057495117
Burst_1,rotdaily,Behaviour,123456,RF,0.9126649728918655,0.7224334600760456,0.4636453979182035,0.6998275853903722,0.7147543449131878,0.7224334600760456,0.27689695358276367
Burst_1,rotdaily,Behaviour,123456,XGB,0.9040139910945042,0.6958174904942965,0.4846796198399039,0.6898096569423693,0.6925472707867144,0.6958174904942965,0.46309471130371094
Burst_1,rotdaily,Behaviour,123456,SVC,0.5775873585660869,0.38022813688212925,0.13090320465535613,0.22584527240794114,0.35601829847908745,0.38022813688212925,0.19928956031799316
Burst_1,uncorrected,Behaviour,42,RF,0.8960051462212774,0.688212927756654,0.4340894409324813,0.6660055798813703,0.6685318550437622,0.688212927756654,0.26021766662597656
Burst_1,uncorrected,Behaviour,42,XGB,0.9007534969029971,0.7110266159695817,0.46566896288247134,0.6971474506807471,0.6974439244957653,0.7110266159695817,0.4450356960296631
Burst_1,uncorrected,Behaviour,42,SVC,0.8229398116095178,0.5703422053231939,0.32095983230706454,0.490370302269335,0.6080751562602529,0.5703422053231939,0.1735379695892334
Burst_1,uncorrected,Behaviour,100,RF,0.9311930210256355,0.7300380228136882,0.48040674603174605,0.7184042918672577,0.7145818299060245,0.7300380228136882,0.27080845832824707
Burst_1,uncorrected,Behaviour,100,XGB,0.9257921085165637,0.7224334600760456,0.49010770975056694,0.7139260537969346,0.7105153993967928,0.7224334600760456,0.45761942863464355
Burst_1,uncorrected,Behaviour,100,SVC,0.8539149893976229,0.5855513307984791,0.289328231292517,0.5051569169231256,0.5143319977769114,0.5855513307984791,0.17127585411071777
Burst_1,uncorrected,Behaviour,123,RF,0.9221433198330541,0.7452471482889734,0.5709314793737161,0.7287512822183697,0.7402880747400504,0.7452471482889734,0.2715888023376465
Burst_1,uncorrected,Behaviour,123,XGB,0.914833028183507,0.7376425855513308,0.56595280617753,0.7236474955130761,0.7311338317112905,0.7376425855513308,0.47118067741394043
Burst_1,uncorrected,Behaviour,123,SVC,0.8255157386076201,0.5475285171102662,0.2869274442514407,0.47138809736902326,0.463889966633041,0.5475285171102662,0.17527318000793457
Burst_1,uncorrected,Behaviour,1234,RF,0.8981936789522675,0.7072243346007605,0.4501069617508877,0.6870278533515337,0.7010690140318048,0.7072243346007605,0.26319193840026855
Burst_1,uncorrected,Behaviour,1234,XGB,0.8871929378509248,0.6730038022813688,0.4284895093871206,0.6524540730698132,0.661755062093334,0.6730038022813688,0.4434530735015869
Burst_1,uncorrected,Behaviour,1234,SVC,0.8466042400949582,0.5817490494296578,0.305073101270564,0.508533818301831,0.5437019658603673,0.5817490494296578,0.17856240272521973
Burst_1,uncorrected,Behaviour,123456,RF,0.9258433100175286,0.779467680608365,0.6322995212141082,0.7610425884179995,0.7986056723263536,0.779467680608365,0.26367831230163574
Burst_1,uncorrected,Behaviour,123456,XGB,0.9309556555548907,0.7642585551330798,0.5171271821981804,0.7540204533944282,0.7581526643864235,0.7642585551330798,0.4485304355621338
Burst_1,uncorrected,Behaviour,123456,SVC,0.8445025034875985,0.55893536121673,0.2993784662459361,0.48430290956943317,0.5680912498474734,0.55893536121673,0.1760423183441162
Burst_2,rotbasal,Behaviour,42,RF,0.8925928905666998,0.6927374301675978,0.59957244496415,0.6689651459563963,0.6932725280217694,0.6927374301675978,0.6078176498413086
Burst_2,rotbasal,Behaviour,42,XGB,0.8987771570869408,0.7094972067039106,0.6419627735295939,0.6961925253958515,0.7212149058917843,0.7094972067039106,0.707136869430542
Burst_2,rotbasal,Behaviour,42,SVC,0.6619340727415248,0.36312849162011174,0.12436224489795919,0.19472827457603806,0.13303398945334932,0.36312849162011174,0.6057932376861572
Burst_2,rotbasal,Behaviour,100,RF,0.9071202079654939,0.6797020484171322,0.5017521520977741,0.647955706664128,0.6550383442860528,0.6797020484171322,0.5878479480743408
Burst_2,rotbasal,Behaviour,100,XGB,0.9070536248171235,0.7169459962756052,0.5487283997364643,0.701857846199356,0.7146104098570905,0.7169459962756052,0.6663286685943604
Burst_2,rotbasal,Behaviour,100,SVC,0.5871834775221608,0.3649906890130354,0.125,0.1951928377805046,0.13321820306621032,0.3649906890130354,0.5984704494476318
Burst_2,rotbasal,Behaviour,123,RF,0.9051886218963489,0.7188081936685289,0.5454592770260973,0.6956067079641948,0.7138934130999564,0.7188081936685289,0.5792343616485596
Burst_2,rotbasal,Behaviour,123,XGB,0.9100334114798259,0.7281191806331471,0.6417363422547755,0.7178878800556402,0.7243750272942576,0.7281191806331471,0.6637043952941895
Burst_2,rotbasal,Behaviour,123,SVC,0.6336977481887218,0.3649906890130354,0.125,0.1951928377805046,0.13321820306621032,0.3649906890130354,0.6077229976654053
Burst_2,rotbasal,Behaviour,1234,RF,0.9021060938423969,0.6964618249534451,0.5731332703394916,0.6754853391991009,0.6778295045580155,0.6964618249534451,0.5983090400695801
Burst_2,rotbasal,Behaviour,1234,XGB,0.9050249499711718,0.7057728119180633,0.6073526032339396,0.693893461839538,0.7096931029763027,0.7057728119180633,0.6632406711578369
Burst_2,rotbasal,Behaviour,1234,SVC,0.7143739227028041,0.3743016759776536,0.15811805322173986,0.21972189358303917,0.3397144630664184,0.3743016759776536,0.6081616878509521
Burst_2,rotbasal,Behaviour,123456,RF,0.8933278900976223,0.6797020484171322,0.499434497274359,0.6535799134734348,0.6607722319173501,0.6797020484171322,0.5913999080657959
Burst_2,rotbasal,Behaviour,123456,XGB,0.8941987286333766,0.6741154562383612,0.5186326506314985,0.6577911403123449,0.6693463171645516,0.6741154562383612,0.6640031337738037
Burst_2,rotbasal,Behaviour,123456,SVC,0.6652301034636969,0.3649906890130354,0.12511982065553495,0.1984080658315159,0.28666527436955047,0.3649906890130354,0.6054315567016602
Burst_2,rotdaily,Behaviour,42,RF,0.892518716189201,0.6797020484171322,0.6073519766204099,0.6593720097768784,0.669728999344067,0.6797020484171322,0.5849096775054932
Burst_2,rotdaily,Behaviour,42,XGB,0.8950490659283443,0.6834264432029795,0.5426361976477184,0.6690219256398469,0.6762836530992097,0.6834264432029795,0.6680033206939697
Burst_2,rotdaily,Behaviour,42,SVC,0.4736819886508694,0.3649906890130354,0.125,0.1951928377805046,0.13321820306621032,0.3649906890130354,0.647444486618042
Burst_2,rotdaily,Behaviour,100,RF,0.9091662006668664,0.7243947858472998,0.5383604842418206,0.7018652360542431,0.7027633592861251,0.7243947858472998,0.5767562389373779
Burst_2,rotdaily,Behaviour,100,XGB,0.9045877579627091,0.7169459962756052,0.5332344306998684,0.6991742977150496,0.7024855350623507,0.7169459962756052,0.6659493446350098
Burst_2,rotdaily,Behaviour,100,SVC,0.5256886170482375,0.3649906890130354,0.12691326530612246,0.1985733657254642,0.17890695290105244,0.3649906890130354,0.6442201137542725
Burst_2,rotdaily,Behaviour,123,RF,0.903185365644923,0.7039106145251397,0.5396549622932112,0.6800538816980902,0.6851493857756088,0.7039106145251397,0.5707504749298096
Burst_2,rotdaily,Behaviour,123,XGB,0.9045937952752791,0.707635009310987,0.5558820787507424,0.6933686077985487,0.707066939734562,0.707635009310987,0.6612975597381592
Burst_2,rotdaily,Behaviour,123,SVC,0.5316428085931783,0.37057728119180633,0.1326530612244898,0.2065235776952315,0.22521429219062764,0.37057728119180633,0.6354508399963379
Burst_2,rotdaily,Behaviour,1234,RF,0.8981502976687327,0.6852886405959032,0.5610375191884409,0.6625672293637465,0.6614046762621317,0.6852886405959032,0.578289270401001
Burst_2,rotdaily,Behaviour,1234,XGB,0.9041769971071646,0.7039106145251397,0.5913088959171908,0.6844918429524002,0.7016277385732901,0.7039106145251397,0.6690473556518555
Burst_2,rotdaily,Behaviour,1234,SVC,0.4187446835653415,0.37057728119180633,0.1326530612244898,0.2065235776952315,0.22521429219062764,0.37057728119180633,0.6355111598968506
Burst_2,rotdaily,Behaviour,123456,RF,0.8931672174772851,0.6945996275605214,0.5145631793961287,0.6722440411363884,0.6765592697853715,0.6945996275605214,0.5728132724761963
Burst_2,rotdaily,Behaviour,123456,XGB,0.8941385104720364,0.707635009310987,0.534449958643507,0.6915576245025832,0.703461184198879,0.707635009310987,0.654590368270874
Burst_2,rotdaily,Behaviour,123456,SVC,0.48511551251459406,0.3687150837988827,0.13010204081632654,0.20288356128905158,0.22496388729354844,0.3687150837988827,0.6358232498168945
Burst_2,uncorrected,Behaviour,42,RF,0.9121595712976501,0.7094972067039106,0.6491857189149816,0.6968048537963997,0.718359010090328,0.7094972067039106,0.5641965866088867
Burst_2,uncorrected,Behaviour,42,XGB,0.9172077464107194,0.7225325884543762,0.6389863848389195,0.7101568098809302,0.7159238209864731,0.7225325884543762,0.6274068355560303
Burst_2,uncorrected,Behaviour,42,SVC,0.8536320899525344,0.5772811918063314,0.34501762318582596,0.5086725673997539,0.5358535652075781,0.5772811918063314,0.5269732475280762
Burst_2,uncorrected,Behaviour,100,RF,0.9200104557887834,0.7057728119180633,0.5516169698197347,0.6841323094835767,0.6991707184045608,0.7057728119180633,0.5664467811584473
Burst_2,uncorrected,Behaviour,100,XGB,0.9175539520738647,0.7281191806331471,0.6343611010085664,0.7164426331825753,0.7267819298327223,0.7281191806331471,0.6543192863464355
Burst_2,uncorrected,Behaviour,100,SVC,0.8725257640222462,0.595903165735568,0.36317670744514063,0.5349814520790225,0.5786374050806081,0.595903165735568,0.5248837471008301
Burst_2,uncorrected,Behaviour,123,RF,0.9213847065369764,0.7299813780260708,0.6268350249341033,0.7137360112573089,0.7142933845240469,0.7299813780260708,0.5626604557037354
Burst_2,uncorrected,Behaviour,123,XGB,0.9171177440996016,0.7243947858472998,0.6297742675910879,0.7119679420872307,0.7199943666567072,0.7243947858472998,0.645885705947876
Burst_2,uncorrected,Behaviour,123,SVC,0.8493307782715799,0.5828677839851024,0.37098499938361684,0.5244709114968084,0.5536759673658479,0.5828677839851024,0.5206007957458496
Burst_2,uncorrected,Behaviour,1234,RF,0.9181582620845282,0.7206703910614525,0.6075383397964044,0.703544184876158,0.7310148208620358,0.7206703910614525,0.5664563179016113
Burst_2,uncorrected,Behaviour,1234,XGB,0.9234768474667552,0.7206703910614525,0.6046075596190803,0.7080381543336435,0.7129875226153064,0.7206703910614525,0.6414036750793457
Burst_2,uncorrected,Behaviour,1234,SVC,0.8620528903168818,0.5977653631284916,0.3709692733022226,0.5458654413734652,0.5681519491634941,0.5977653631284916,0.5092065334320068
Burst_2,uncorrected,Behaviour,123456,RF,0.9074244815977399,0.7262569832402235,0.5752499420702186,0.7115048974163782,0.7475573791534214,0.7262569832402235,0.5667638778686523
Burst_2,uncorrected,Behaviour,123456,XGB,0.9024875274831873,0.7001862197392924,0.5359867059463834,0.6856902838565144,0.7063501408131504,0.7001862197392924,0.6506145000457764
